add
location
field
to
task
for
smartcats
implement
api
smart
cats
please
find
a
way
set
up
tensorflow
submit
report
of
take
look
into
prepare
presentation
can
you
check
how
works
make
workflow
diagram
why
not
be
called
send
me
an
email
about
build
summarize
the
chatterbot
do
research
text
classification
figure
out
trains
data
try
use
train
with
list
all
requirements
training
facebook
pixel
fix
error
i
want
video
upload
course
will
it
process
sorry
am
busy
right
now
afraid
have
another
thing
think
able
enough
time
